ecom,tagline,occurrence,publication,lin,summary,recommendations,location
RO-2004-102,"Motor trolley, derailment, Lepperton, 25 January 2004",25 Jan 2004,25 Aug 2004,04-102,"On Sunday 25 January 2004, at about 1130, a consist of 3 motor trolleys coupled together was on a scenic ride on the Waitara Branch, when the trailing motor trolley, with a driver and 4 passengers on board, became detached from the consist and derailed. The driver and passengers were catapulted from the motor trolley when it came to an abrupt halt and slewed through 90 degrees. The driver and 3 of the passengers received moderate to serious injuries. The safety issues identified were: The coupling of motor trolleys together during revenue earning trips; The conveyance of passengers on motor trolleys without adequate constraints; The unlicensed operating of motor trolleys for fare paying passengers. One safety recommendation addressing these issues was made to the operator.","023/04, 024/04",Lepperton
RO-2004-103,"Shunting service Train P40, derailment, 43.55 km near Oringi, 16 February 2004",16 Feb 2004,8 Sep 2005,04-103,"On Monday 16 February 2004 at about 0250 Train P40, a Palmerston North to Oringi return shunting service, derailed when it ran into a washout at the 43.554 km, between Oringi and Woodville on the Palmerston North – Gisborne Line. Six wagons derailed and about 150 m of track were damaged. Surface water from intense rainfall ponded upstream of culverts at 43.554 km and 43.581 km and washed out about 5 m of track formation. There were no injuries. The safety issue identified was the running of trains in adverse weather conditions after special track inspections had ceased. One safety recommendation was made to the Chief Executive of ONTRACK.",072/05,Oringi
RO-2004-107,"Express freight Train 237, derailment, near Kopaki, 24 March 2004",24 Mar 2004,23 Mar 2005,04-107,"On Wednesday 24 March 2004, at about 0149, USQ 7663, the 27th wagon on southbound express freight Train 237, derailed while negotiating a left-hand curve between Puketutu and Kopaki on the North Island Main Trunk. The wagon ran derailed for about 750 m until it struck the spreader bar on the north-end facing points at Kopaki, derailing the following 4 wagons and parting the train between the 29th and 30th wagons. The condition of the trailing bogie of wagon USQ 7663 was a significant contributing factor to the derailment. Safety issues included: the fractured friction wedge springs; the identification and correction of displaced bearing adaptors; the assembly procedures for fitting wear liners to bolster wedge pockets; the identification of individual bogie components. Two safety recommendations were made to the Chief Executive of Toll NZ Consolidated Limited to address these issues.",093/04,Kopaki
RO-2004-109,"Passenger express Train 804, ""Tranz Alpine"", stalled and slid back, Otira Tunnel, 28 March 2004",28 Mar 2004,21 Jan 2005,04-109,"On Sunday 28 March 2004, at about 1541 shortly after entering the Otira Tunnel Train 804, the Greymouth to Christchurch Tranz Alpine passenger express, with 268 passengers and 6 crew on board, stalled and slid backwards. The locomotive engineer eventually brought the train under control but when he attempted to move forward again the locomotives could not develop traction and the train stopped. After a second unsuccessful attempt to move the train forward, the locomotive engineer was authorised by train control to set back to Otira where extra locomotive power was attached for the trip through the Otira Tunnel to Arthurs Pass. Contributing factors and safety issues identified included: the loss of traction experienced by the locomotives; the failure of the locomotive sanding equipment to operate correctly; a residue of coal dust and moisture on the railhead within the tunnel; the inability to establish radio communication between the locomotive engineer and train controller; the imbalance of axle weight distribution on locomotive DCP4801; the lack of filtering of locomotive sand; the loss of situational awareness by the locomotive engineer. Two safety recommendations were made to the Chief Executive of Toll NZ Consolidated Limited.","081/04, 082/04",Otira
RO-2004-110,"Wagon runaway, Owens siding, Onehunga industrial line, 5 April 2004",5 Apr 2004,25 May 2005,04-110,"The Transport Accident Investigation Commission is an independent Crown entity established to determine the circumstances and causes of accidents and incidents with a view to avoiding similar occurrences in the future. Accordingly it is inappropriate that reports should be used to assign fault or blame or determine liability, since neither the investigation nor the reporting process has been undertaken for that purpose. The Commission may make recommendations to improve transport safety. The cost of implementing any recommendation must always be balanced against its benefits. Such analysis is a matter for the regulator and the industry. These reports may be reprinted in whole or in part without charge, providing acknowledgement is made to the Transport Accident Investigation Commission","031/04, 075/04",Onehunga
RO-2004-111,"Express freight Train 736, track occupation irregularity leading to a near collision, Christchurch, 14 April 2004",14 Apr 2004,25 May 2005,04-111,"On Wednesday 14 April 2004, at 1504, Train 736, a Christchurch-Picton express freight service was signalled into the Christchurch-Belfast section of the Main North Line that was already occupied by a track maintenance gang. The occupation had been authorised by an outgoing train controller. Three track maintenance personnel had to take evasive action when the train passed through their worksite. There were no injuries or equipment damage. Safety issues identified included: the lack of forward planning on the train control diagram; the unintentional removal of a control block instead of a control tag from the section of track that was already occupied. Two safety recommendations have been made to the Chief Executive of New Zealand Railways Corporation to address these issues","005/05, 040/05",Christchurch
RO-2004-112,"Diesel multiple unit passenger Train 2146, fire in auxiliary engine, Boston Road, 16 April 2004",16 Apr 2004,25 May 2005,04-112,"On Friday, 16 April 2004, at about 1725, smoke was observed coming from beneath Train 2146 as it departed Newmarket. The train stopped at the next station, Boston Road. The passengers were evacuated and the fire was extinguished with the assistance of the New Zealand Fire Service. There were no injuries. The safety issues identified were: the fittings connecting the oil inlet hose to the engine and the turbocharger; the shroud panels surrounding the auxiliary engine. One safety recommendation was made to the Chief Executive of Auckland Regional Transport Authority",008/05,Newmarket
RO-2004-113,"Express freight Train 220 and empty truck and trailer, collision at farm access level crossing, 162.56 km between Maewa and Rangitawa, 27 April 2004",27 Apr 2004,15 Dec 2004,04-113,"On Tuesday 27 April 2004 at about 1605 hours, express freight Train 220 collided with the empty trailer of a fertiliser truck and trailer unit at a farm access level crossing between Maewa and Rangitawa on the North Island Main Trunk. The front bogie of the lead locomotive derailed and the truck and trailer unit was extensively damaged. One traction mast was knocked over and the overhead catenary brought down. The locomotive engineer and the truck driver both suffered minor injuries. The safety issues identified were: the legal status of the level crossing; the view lines at the level crossing; the available stacking distances for long road vehicles. Three safety recommendations were made to the Chief Executive of New Zealand Railways Corporation.","073/04, 074/04, 080/04",Maewa
RO-2004-116,"Passenger express Train 1605, fire in generator car, Carterton, 28 June 2004",28 Jun 2004,8 Sep 2005,04-116,"On Monday 28 June 2004, at about 0710, the power generator unit at the rear of passenger express Train 1605 caught fire as the train berthed at Carterton Station. The train manager expended one of 3 fire extinguishers carried on board the train to extinguish the fire. There were no injuries to passengers or crew. Safety issues identified included: the layout of the generator enclosure; the installation of the fire detection and suppression system. Three safety recommendations were made to the Chief Executive of Toll NZ Consolidated Limited to address these issues.","068/05, 069/05, 070/05",Carterton
RO-2004-118,"Express frieght Train 725, track occupation irregularity leading to a near collision, Tormore-Scargill, 20 July 2004.",20 Jul 2004,11 Aug 2005,04-118,"On Tuesday 20 July 2004, at 1345, Train 725, a Picton to Christchurch express freight service, was authorised to travel through the Tormore to Scargill section of the Main North Line that was already occupied by a track maintenance gang. Two track maintenance personnel had just completed their work and were stowing equipment on their vehicle parked trackside when the train travelled through their worksite. There were no injuries or equipment damage. Safety issues identified included: the certification process for trainee train controllers; conflicting documentation relating to safety buffer, clearance of occupations and safeguarding of positions when circumstances alter. Two safety recommendations have been made to the Chief Executive of ONTRACK to address these issues.","025/05, 026/06",Tormore
RO-2004-119,"Diesel multiple unit passenger Train 3358, wrong line running irregularity, Tamaki, 28 July 2004",28 Jul 2004,21 Jul 2005,04-119,"On Wednesday 28 July 2004 at about 1320, during a wrong line running operation, Train 3358 a Tranz Metro Papakura to Britomart diesel multiple unit passenger train passed Signal 8B at Tamaki, at Stop, without verbal authority. The train continued on the Down main towards Britomart Station without the required Track and Time Permit. There was no conflicting movement approaching Train 3358. Safety issues identified included: training regime for locomotive engineers multiple units; the identification in the field of the start point for wrong line running; the radio reception near Tamaki. Two safety recommendations were made to address these issues.","046/05, 047/05",Tamaki
RO-2004-120,"Express freight Train 726, collision with runaway locomotive, Pines, Wednesday 18 August 2004",18 Aug 2004,25 May 2005,04-120,"On Wednesday 18 August 2004, at about 0815, an unmanned DFT locomotive, that had been stabled in the loop at Pines, ran away on to the Main North Line and collided with stationary Train 726, a Christchurch-Picton express freight service. The runaway locomotive struck the second wagon in the consist of Train 726, which was standing over No.3 motor points at the south end of Pines. There were no injuries and only minor damage to the DFT locomotive and one wagon on Train 726. Safety issues identified were: the procedures for the application of the handbrake on the locomotives; the potential for an accident had the locomotive runaway prior to the arrival of Train 726 at Pines. One safety recommendation was made to the Chief Executive of Toll NZ Consolidated Limited to address these issues.",011/05,Pines
RO-2004-121,"Locomotive DBR1199, derailment, Auckland, 24 august 2004",24 Aug 2004,11 Aug 2005,04-121,"On Friday 24 August 2004 at about 1530, locomotive DBR1199 derailed while hauling a set of empty passenger cars into Britomart Station in Auckland. The passenger cars and second locomotive were not derailed. The derailment occurred when a tyre, which had worked loose from a wheel on DBR1199, struck the frog in a set of facing points and derailed all wheels of the trailing bogie. The safety issue identified was the susceptibility of tyred wheels to loosen due to excessive heat. In view of the safety actions recommended to Toll NZ Consolidated Limited by Alstom New Zealand Transport Services as a result of its internal investigation into this incident, and the subsequent actions taken by Toll NZ Consolidated Limited, no safety recommendations have been made.",NA,Auckland
RO-2004-123,"Electric multiple unit traction motor fires, Wellington Suburban Network, 7 May 2004 - 30 September 2004",27 Sep 2004,16 Jun 2005,04-123,"Between Friday 7 May 2004 and Thursday 30 September 2004, four incidents involving traction motor fires on Tranz Metro electric multiple unit passenger services occurred on the Wellington suburban passenger network. This report incorporates reports 04-114, 04-122 and 04-124. These incidents occurred on 4 different driving sets, and all resulted in smoke entering the passenger compartments. There were no injuries to passengers or crew in any of the incidents. Safety issues identified included: the use of incorrect crimp lugs in cable connections; inadequate crimping of connections; the ability to inspect connections; poor maintenance procedures; lack of awareness of critical points associated with quality crimp joints; potential for connector bolts to work lose because of vibration. Because of the similarities arising from each incident, all 4 incidents have been combined into one report. In view of the safety actions taken by Toll NZ Consolidated Ltd no safety recommendations have been made.",NA,Paremata
RO-2004-125,"Collision between an over-dimensioned road load, and rail over road bridge No.98, on Opaki-Kaiparoro Road, between Eketahuna and Mangamahoe, Saturday 2 October 2004",2 Oct 2004,21 Jul 2005,04-125,"On Saturday 2 October 2004, at about 1015, an exhaust outlet at the top of a bulldozer being conveyed on a road trailer collided with the underside and damaged rail over road bridge No.98, located at 117.95 km on the Wairarapa Line, about 9 km south of Eketahuna. A nearby farmer who had heard the collision reported details of the damage to train control. The person sent to inspect the damaged bridge inadvertently inspected 2 undamaged bridges located nearby before informing train control the track was safe and clear for traffic. Two days later on Monday 4 October, another farmer contacted Transfield Services directly to advise of the unsafe condition of the bridge. The bridge was closed to rail traffic and only re-opened after major repairs had been completed. Safety issues identified included: the movement of an over-dimension road load without surveying clearances on the intended route; the special inspection process of rail over road bridges. One safety recommendation has been made to the Chief Executive of New Zealand Railways to address these issues.","004/05, 064/05",Mangamahoe
RO-2004-126,"Express freight Train 244, derailment inside Tunnel 1, North Island Main Trunk, near Wellington, 11 October 2004",11 Oct 2004,17 Nov 2005,04-126,"On Monday 11 October 2004 at about 0007, the sixth wagon on Train 244, a Wellington to Karioi express freight service, derailed at 4.458 km on the North Island Main Trunk line, inside Tunnel 1 after the right wheel on the leading axle of the leading bogie fractured. The train travelled a further 4 km before the locomotive engineer looked back along his train, saw sparks and stopped the train that was by then inside Tunnel 2. The derailed wagon caused some minor damage to the rail bridge over State Highway 1 at Ngauranga Gorge and to ground-level signalling equipment inside Tunnel 2. The safety issues identified were: the suitability of the wheel profile used on the dedicated Wellington to Karioi ZH wagon fleet; the overheat code standard used to determine when a wheel should be withdrawn from service. As a result of the actions taken by Toll NZ Consolidated Limited, no safety recommendations have been made.",NA,Wellington
RO-2004-127,"Express freight Train 952 and stock truck and trailer, collision, Browns Road level crossing, Dunsandel, 19 October 2004.",19 Oct 2004,8 Sep 2005,04-127,"On Tuesday 19 October 2004 at about 0840, express freight Train 952 collided with a stock truck and trailer at Browns Road level crossing in Dunsandel, between Rolleston and Ashburton. Flashing lights and bells protecting the level crossing were working at the time of the collision. The locomotive remained upright and on the rails but sustained major damage. The truck and trailer unit was extensively damaged. The locomotive engineer was uninjured but the truck driver suffered extensive injuries. The safety issues identified were: the adequacy of the warning devices at the level crossing; the use of land alongside the railway line immediately south of the level crossing. No safety deficiencies in the rail operating system were identified. Safety recommendations were made to the Chief Executives of New Zealand Railways Corporation, Transit New Zealand and Selwyn District Council to address these issues.","002/05, 003/05, 006/05, 007/05",Dunsandel
RO-2004-130,"Express freight Train 237, derailment, between Kakahi and Owhango, 5 November 2004",5 Nov 2004,12 Jan 2006,04-130,"Between Friday 5 November 2004 and Monday 21 March 2005, there were 4 freight train derailments at various locations as a result of failures of roller bearing units. These failures occurred on varying wagon classes and bogie types. There were no injuries in any of the incidents. Because of the similarities arising from each derailment, the investigations into all 4 incidents have been combined into one report. Safety issues identified included: the reporting and tracking of component replacement; the abnormally high incidence of fused brake blocks on the derailed wagons. Two safety recommendations were made to the Chief Executive, Toll NZ Consolidated Limited to address these issues.","110/05, 111/05",Kakahi
RO-2004-132,"Overhead power failures, Wellington sububan rail network, 4 December 2004 and 24 January 2005",4 Dec 2004,8 Jun 2006,04-132,"On Saturday 4 December 2004, a Tranz Metro electric multiple unit passenger train travelling from Wellington to Paraparaumu became disabled between Kaiwharawhara Station and Tunnel 1 when the traction overhead contact wire failed due to tensile overload. The failure was brought about by a combination of poor eletrical contact between the contact wire and stirrup clamping plates, and a build-up of corrosion products. On Monday 24 January 2005, a Tranz Metro electric multiple unit passenger train travelling from Upper Hutt to Wellington became disabled between Petone and Ngauranga when the traction overhead contact wire failed. The cause of the failures was similar to the incident that occurred on 4 December 2004. There were no injuries. The safey issues identified were: the early detection and replacement of safety-critical components before failure; the safety of passengers on disabled trains. One safety recommendation has been made to the Chief Executive of ONTRACK and one to the Chief Executive of Toll NZ Consolidated Limited.","021/06, 022/06",Kaiwharawhara
RO-2005-102,"Track warrant control irregularities, Woodville and Otane, 18 January 2005",18 Jan 2005,12 Jan 2006,05-102,"On Tuesday 18 January 2005, a track warrant control irregularity occurred at Woodville when a track warrant was issued to a locomotive engineer authorising his train to berth on the main line at Makotuku to cross an opposing train. The locomotive engineer of the opposing train was already in possession of a track warrant authorising his train to berth on the main line at Makotuku. On the same day a second track warrant irregularity occurred when a track warrant was issued to a locomotive engineer authorising his train to proceed from Otane to Takapau to cross an opposing train. The locomotive engineer of the opposing train was already in possession of a track warrant authorising his train to travel to Waipukurau for the same crossing. He brought this to the attention of the train controller and a potential head-on collision between the trains was averted. There were no injuries. Safety issues identified included: fatigue arising from rostering procedures for train controllers; the use of rostered off duty train controllers to meet short-term staff shortages in the train control office; the inability of the locomotive engineer to check the detail of issued track warrants against the preparation details. Because of the similarities arising from each incident they have been combined into one report. Five safety recommendations have been made to the Chief Executive of ONTRACK.","024/05, 097/05, 098/05, 099/05, 100/05",Otane
RO-2005-103,"Express freight Train 237, derailment, 206.246km Hunterville, 20 January 2005",20 Jan 2005,2 Mar 2006,05-103,"On Thursday 20 January 2005, at about 0744, UK 3083, the eighth wagon on Train 237, an Auckland to Wellington express freight service, derailed as the train passed through the north end of Hunterville on the North Island Main Trunk. The train travelled a further 1100 m until the derailed wagon struck the curved closer rail at the south end points at Hunterville, derailing 3 other wagons and uncoupling the air brake system, which brought the train to a stop. There were no injuries. The safety issue identified was the compatibility of current track and mechanical tolerances. The Commission made safety recommendations to the Chief Executive Officers of Toll NZ Consolidated Limited and ONTRACK as a result of Rail Occurrence Report 03-114, relating to a previous similar derailment. Those recommendations are equally applicable to this occurrence, so no new safety recommendations have been made.",NA,Hunterville
RO-2005-105,"Express freight Train 829, track occupation irregularity, Kokiri, 3 February 2005",3 Feb 2005,12 Jan 2006,05-105,"On Thursday 3 February 2005, at about 0714, Train 829, a Christchurch to Greymouth express freight service, entered the limits of an authorised track occupation area at Phoenix Meat Company siding, Kokiri. The locomotive engineer became aware of the occupation only when he approached the siding to perform a scheduled shunt. One of the track maintenance personnel working at the site within the authorised area was alerted to the proximity of Train 829 when he contacted train control to seek an extension to the occupation. There were no injuries or equipment damage. Safety issues identified included: fatigue arising from rostering procedures for train controllers; the use of rostered off duty train controllers to meet short-term staff shortages in train control; safeguarding track occupations in Single Line Automatic Signalling areas. One safety recommendation has been made to the Chief Executive of ONTRACK to address these issues.",102/05,Kokiri
RO-2005-107,"Diesel multiple unit passenger Train 3037, wrong routing, signal passed at danger and unauthorised wrong line travel, Westfield, 14 February 2005",14 Feb 2005,8 Dec 2008,05-107,"On Monday 14 February 2005, at about 0831, Train 3037, a Connex Auckland Limited Britomart to Papakura via Newmarket diesel multiple unit passenger train was wrong routed past Signal 30RAC at Westfield to an industrial siding, instead of the Down main. While attempting to regain the correct path, the locomotive engineer multiple unit passed Signal 36LD at stop and travelled ‘wrong line ’ on the Down main where he stopped adjacent to a signal that applied to the opposite main. There were no conflicting movements approaching Train 3037 in either situation. Safety issues identified included: signal awareness training for locomotive engineer multiple units; signal box workload; use of non-standard terminology for siding names; voice-recording in signal boxes. Three safety recommendations have been made to the Chief Executive of ONTRACK to address these issues.","077/05, 078/05, 079/05",Westfield
RO-2005-108,"Diesel multiple unit passenger Train 3334, fire, Auckland, 23 February 2005",23 Feb 2005,6 Jul 2006,05-108,"On Wednesday 23 February 2005, at about 0855, Train 3334, a Papakura to Britomart diesel multiple unit passenger train, suffered a traction engine fire while it was stopped at Signal 125, Auckland. The passengers were safely evacuated while the locomotive engineer multiple unit extinguished the fire using dry-powder fire extinguishers that were carried on board the train. There were no injuries. The safety issues identified were: the cleanliness of the engine surround; monitoring engine compression and crankcase pressures; a fire detection and suppression system. Three safety recommendations were made to the General Manager Infrastructure and Rail at Auckland Regional Transport Authority to address these issues.","033/06, 034/06, 035/06",Auckland
RO-2005-109,"Tourist Trains Linx and Snake, derailments, Driving Creek Railway, Coromandel, 20 February 2005 – 3 March 2005",20 Feb 2005,8 Dec 2005,05-109,"On Sunday 20 February 2005 at about 1300, the Driving Creek Train Linx derailed at Peg 1660. The rear bogie of the last passenger set derailed and was dragged about 15 m before one of the derailment bars hit a rail joint fishplate, causing the rear bogie to jump further to the left-hand side of the track. One passenger received moderate injuries. In the afternoon of Sunday 27 February 2005, the rear bogie of the last passenger set of the Train Linx derailed to the inside of a tight right-hand curve at Peg 1270 on the Driving Creek Railway. There were no injuries. In the afternoon of Tuesday 1 March 2005, the leading axle of the Train Snake derailed at a rail joint at Peg 600 on the Driving Creek Railway. There were no injuries. The safety issues identified were: track condition; design of the steering linkage ratio on the front and rear bogies of the Linx; lack of a requirement for regular independent track inspections by qualified people. In view of the safety actions taken by the operator to rectify the deficiencies in the track and the self-steering linkage ratios, no safety recommendations covering these issues have been made. One safety recommendation regarding annual inspections of track, structures and mechanical equipment by independent, qualified persons has been made to the Director of Land Transport.",103/05,Coromandel
RO-2005-111,"Express freight Train 312, school bus struck by descending barrier arm, Norton Road level crossing, Hamilton, 16 February 2005",16 Feb 2005,13 Oct 2005,05-111,"On Wednesday 9 February 2005 at about 1500, a descending barrier arm at Norton Road level crossing, Hamilton, struck a school bus conveying 16 passengers when the level crossing warning devices activated for the passage of express freight Train 312. The school bus could not clear the level crossing because of traffic banked up in front of and behind it. Train 312 was stationary at the time and the locomotive engineer became aware of the school bus before he moved his train. There were no injuries. The safety issues identified included the signage, design, layout and alignment of the road approaches to, and exits from, the level crossing. A joint safety recommendation covering these issues was made to the Chief Executives of ONTRACK and Hamilton City Council. Long-term use of the level crossing in its existing layout was considered but in view of the changes proposed by Hamilton City Council no safety recommendation was made","032/05, 033/05",Hamilton
RO-2005-112,"Hi-rail vehicle passenger express Train 200, track occupancy incident, near Taumarunui, 7 March 2005",7 Mar 2005,12 Jan 2006,05-112,"On Monday 7 March 2005 at about 1651, the Wellington to Auckland Overlander passenger express Train 200 departed from Taumarunui and entered the section ahead. At about 1658 the locomotive engineer was required to stop his train when he became aware of a hi-rail vehicle on the track in front of him. The hi-rail vehicle operator had been given authority to travel by rail from Owhango to Signal 4R at Okahukura. However he off-tracked en route and travelled part of the journey by road. Unknown to the hi-rail vehicle operator he overtook Train 200 at Taumarunui and when he on-tracked at a level crossing north of Taumarunui, he did so in front of Train 200. Safety issues identified were: the speed of the hi-rail vehicle while on-track between Owhango and Manunui; the rules relating to off-tracking a hi-rail vehicle within an authorised track occupation. One safety recommendation was made to the Chief Executive of ONTRACK.",112/05,Taumarunui
RO-2005-115,"Empty passenger Train 2100, train parting and improper door opening, Ranui, 1 April 2005",1 Apr 2005,6 Jul 2006,05-115,"On Friday 1 April 2005, Train 2100 was a scheduled empty passenger service being positioned to Waitakere to start passenger operations for the day. At 0627, soon after the train had passed through Ranui station, the coupling between the locomotive and the guard’s van parted. As a result of the parting, the automatic brake system lost all air pressure and brought the train to a stop. Two cable connections were severed and loose wiring short-circuited the electrical door control trainline, resulting in the doors on the passenger cars opening and closing while the train was coming to a stop. The safety issues identified included: the door opening/closing circuitry; the return of a rail vehicle to passenger train service with out-of-code drawgear height. One safety recommendation has been made to the Chief Executive of Toll NZ Consolidated Limited to address these issues.",101/05,Ranui
